symbol,date,return_1d,vol_30d_ann,drawdown,var_95,flag_vol,flag_dd,flag_var,flags_count
QQQ,2026-02-20,0.008848824299467983,0.16496874341850892,-0.04240527234691793,-0.02097584436065706,True,True,False,2
SPY,2026-02-20,0.007231767180925663,0.1219827426830997,-0.008713281283699303,-0.012764556230981328,False,False,False,0
